class_id,class_name,count,avg_width,avg_height,min_width,min_height,max_width,max_height
12,car,66804,0.2388,0.1845,0.0,0.0,0.646,1.0
9,trafficlight,17981,0.0802,0.2612,0.0141,0.0688,0.3672,0.8582
3,roundabout,14331,0.0711,0.1054,0.0188,0.0333,0.1484,0.1958
5,crosswalk,13485,0.0729,0.1044,0.0,0.0,0.1484,0.2312
11,girl,13288,0.1178,0.2231,0.0,0.0,0.4766,0.9167
2,stop,12231,0.0733,0.1019,0.0141,0.0271,0.15,0.1979
8,prio,11605,0.0706,0.1015,0.0156,0.0271,0.1625,0.2375
4,parking,10486,0.0671,0.1015,0.0062,0.0125,0.3463,0.4126
0,oneway,9368,0.0672,0.1002,0.014,0.0188,0.1484,0.2062
6,noentry,7879,0.0643,0.0978,0.0125,0.0188,0.1516,0.2146
7,highwayexit,6384,0.0566,0.1073,0.0101,0.021,0.125,0.2604
1,highwayentrance,6099,0.0562,0.1066,0.0125,0.025,0.1219,0.2542
10,block,5021,0.183,0.1119,0.0312,0.0188,0.3047,0.2292
